Recorder,node/Below Donnells outflow/outflow,node/Donnells PH/flow,node/Donnells PH/water demand,node/Donnells Reservoir/observed storage,node/Donnells Reservoir/storage,node/STANI-N-INS1/flow,node/STANI-N-INS1/requirement,node/STN_1 Headflow/outflow,node/STN_1 Headflow/runoff,node/USGS_11292610/flow,node/USGS_11292610/observed flow
,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,0.03698887671714492,0.03698887671714492,0.00924721917928623,66.8422812,66.97927016805603,0.0,0.05,0.01625904477317974,0.01625904477317974,0.03698887671714492,0.0
2009-10-02,0.03698887671714492,0.03698887671714492,0.00924721917928623,66.2502108,66.95853303358409,0.0,0.05,0.016251742245196092,0.016251742245196092,0.03698887671714492,0.0
2009-10-03,0.03698887671714492,0.03698887671714492,0.00924721917928623,65.6581404,66.94564971205774,0.0,0.05,0.02410555519080355,0.02410555519080355,0.03698887671714492,0.0
2009-10-04,0.03698887671714492,0.03698887671714492,0.00924721917928623,65.1030744,66.93346747071543,0.0,0.05,0.024806635374833137,0.024806635374833137,0.03698887671714492,0.0
2009-10-05,0.03698887671714492,0.03698887671714492,0.00924721917928623,64.53567360000001,66.91303729755799,0.0,0.05,0.016558703559708506,0.016558703559708506,0.03698887671714492,0.0
2009-10-06,0.03698887671714492,0.03698887671714492,0.00924721917928623,63.9682728,66.89227692779329,0.0,0.05,0.016228506952448145,0.016228506952448145,0.03698887671714492,0.0
2009-10-07,0.03698887671714492,0.03698887671714492,0.00924721917928623,63.4132068,66.8715111551774,0.0,0.05,0.016223104101260245,0.016223104101260245,0.03698887671714492,0.0
2009-10-08,0.03698887671714492,0.03698887671714492,0.00924721917928623,62.845806,66.85073998333912,0.0,0.05,0.01621770487887234,0.01621770487887234,0.03698887671714492,0.0
2009-10-09,0.03698887671714492,0.03698887671714492,0.00924721917928623,62.2784052,66.82996302313286,0.0,0.05,0.016211916510885306,0.016211916510885306,0.03698887671714492,0.0
2009-10-10,0.03698887671714492,0.03698887671714492,0.00924721917928623,61.7233392,66.80917965947701,0.0,0.05,0.01620551306129965,0.01620551306129965,0.03698887671714492,0.0
2009-10-11,0.03698887671714492,0.03698887671714492,0.00924721917928623,61.1559384,66.78838979197478,0.0,0.05,0.01619900921491422,0.01619900921491422,0.03698887671714492,0.0
2009-10-12,0.03698887671714492,0.03698887671714492,0.00924721917928623,60.5885376,66.86262494725169,0.0,0.05,0.11122403199405817,0.11122403199405817,0.03698887671714492,0.0
2009-10-13,0.03698887671714492,0.03698887671714492,0.00924721917928623,60.366511200000005,68.9640516298405,0.0,0.05,2.1384155593059493,2.1384155593059493,0.03698887671714492,0.0
2009-10-14,0.03698887671714492,0.03698887671714492,0.00924721917928623,61.0695948,71.66122056363884,0.0,0.05,2.7341578105154865,2.7341578105154865,0.03698887671714492,0.0
2009-10-15,0.03698887671714492,0.03698887671714492,0.00924721917928623,60.822898800000004,71.90180849550632,0.0,0.05,0.27757680858462797,0.27757680858462797,0.03698887671714492,0.0
2009-10-16,0.03698887671714492,0.03698887671714492,0.00924721917928623,60.526863600000006,72.27714382111996,0.0,0.05,0.41232420233079375,0.41232420233079375,0.03698887671714492,0.0
2009-10-17,0.03698887671714492,0.03698887671714492,0.00924721917928623,60.1814892,72.7208308274093,0.0,0.05,0.48067588300648595,0.48067588300648595,0.03698887671714492,0.0
2009-10-18,0.03698887671714492,0.03698887671714492,0.00924721917928623,59.823780000000006,73.17517773002676,0.0,0.05,0.4913357793346078,0.4913357793346078,0.03698887671714492,0.0
2009-10-19,0.03698887671714492,0.03698887671714492,0.00924721917928623,59.5277448,73.37894053719593,0.0,0.05,0.2407516838863162,0.2407516838863162,0.03698887671714492,0.0
2009-10-20,0.03698887671714492,0.03698887671714492,0.00924721917928623,59.0713572,73.40606492298157,0.0,0.05,0.06411326250278628,0.06411326250278628,0.03698887671714492,0.0
2009-10-21,0.03698887671714492,0.03698887671714492,0.00924721917928623,58.5039564,73.413727900878,0.0,0.05,0.04465185461357984,0.04465185461357984,0.03698887671714492,0.0
2009-10-22,0.03698887671714492,0.03698887671714492,0.00924721917928623,57.911885999999996,73.4462306066452,0.0,0.05,0.06949158248433886,0.06949158248433886,0.03698887671714492,0.0
2009-10-23,0.03698887671714492,0.03698887671714492,0.00924721917928623,57.30748079999999,73.47454862277057,0.0,0.05,0.06530689284251256,0.06530689284251256,0.03698887671714492,0.0
2009-10-24,0.03698887671714492,0.03698887671714492,0.00924721917928623,56.703075600000005,73.50344843092023,0.0,0.05,0.06588868486680935,0.06588868486680935,0.03698887671714492,0.0
2009-10-25,0.03698887671714492,0.03698887671714492,0.00924721917928623,56.07400079999999,73.52534666785998,0.0,0.05,0.058887113656892864,0.058887113656892864,0.03698887671714492,0.0
2009-10-26,0.03698887671714492,0.03698887671714492,0.00924721917928623,55.444926,73.54696635759394,0.0,0.05,0.0586085664511168,0.0586085664511168,0.03698887671714492,0.0
2009-10-27,0.03698887671714492,0.03698887671714492,0.00924721917928623,54.828185999999995,73.57355902499357,0.0,0.05,0.06358154411677734,0.06358154411677734,0.03698887671714492,0.0
2009-10-28,0.03698887671714492,0.03698887671714492,0.00924721917928623,54.1621068,73.5610872299495,0.0,0.05,0.02451708167308174,0.02451708167308174,0.03698887671714492,0.0
2009-10-29,0.03698887671714492,0.03698887671714492,0.00924721917928623,53.53303199999999,73.54873419585238,0.0,0.05,0.02463584262001571,0.02463584262001571,0.03698887671714492,0.0
